mmwr_week_start,cases
2024-12-29,2
2025-01-05,1
2025-01-12,1
2025-01-19,11
2025-01-26,19
2025-02-02,27
2025-02-09,65
2025-02-16,85
2025-02-23,75
2025-03-02,90
2025-03-09,84
2025-03-16,105
2025-03-23,89
2025-03-30,115
2025-04-06,74
2025-04-13,86
2025-04-20,48
2025-04-27,49
2025-05-04,35
2025-05-11,25
2025-05-18,55
2025-05-25,41
2025-06-01,24
2025-06-08,20
2025-06-15,29
2025-06-22,35
2025-06-29,18
2025-07-06,15
2025-07-13,12
2025-07-20,17
2025-07-27,11
2025-08-03,11
2025-08-10,19
2025-08-17,25
2025-08-24,11
2025-08-31,2
